datetime,open,high,low,close,volume,closetimeStamp,quote_asset_volume,number_of_trades,tbb_asset_volume,tbq_asset_volume,ignored,macd,macd_signal,macd_delta,rsi,sma_21,sma_51,ema,cci,score,sma_score,rsi_score,cci_score,macd_score
2021-04-28 18:51:00,0.30787,0.30997,0.30774,0.30897,30158809.6,1619625239999,9321644.632369,9892,14946797.3,4620717.028613,0,0.0,0.0,0.0,,0.30897,0.30897,0.30897,0.0,-1,-10,0,-7,15
2021-04-28 18:54:00,0.30897,0.30997,0.30516,0.30552,25359747.2,1619625419999,7799061.339733,8747,10401756.0,3199830.632689,0,-0.00027521367521365914,-5.504273504273183e-05,-0.0002201709401709273,,0.307245,0.307245,0.30828000000000005,-66.66666666666667,-37,-20,0,-11,-5
2021-04-28 18:57:00,0.30561,0.30666,0.30473,0.3058,17396147.7,1619625599999,5322848.351133,5828,8606112.9,2633851.897858,0,-0.00046536440450972716,-0.00013710706893613092,-0.00032825733557359624,,0.30676333333333333,0.30676333333333333,0.30778400000000006,-83.44072164948525,-36,-19,0,-8,-8
2021-04-28 19:00:00,0.3058,0.31125,0.3058,0.3095,46756936.9,1619625779999,14458544.657008,13456,25712629.0,7949482.714084,0,-0.0003138829029096235,-0.00017246223573082946,-0.00014142066717879405,,0.3074475,0.3074475,0.30812720000000005,65.54039419536478,53,19,0,9,24
2021-04-28 19:03:00,0.30954,0.3105,0.30129,0.3039,54100927.4,1619625959999,16575073.224624,14785,22862874.9,7014196.698122,0,-0.0006383474483464546,-0.0002656392782539545,-0.0003727081700925001,,0.306738,0.306738,0.30728176000000007,-89.65102286401839,-37,-19,0,-12,-5
2021-04-28 19:06:00,0.3039,0.3044,0.301,0.30187,34298338.8,1619626139999,10365765.149646,8927,16361141.9,4945538.728758,0,-0.001047220269434046,-0.0004219554764899728,-0.0006252647929440732,,0.3059266666666667,0.3059266666666667,0.3061994080000001,-139.16394900682087,-36,-19,0,-11,-5
2021-04-28 19:09:00,0.30185,0.30386,0.3009,0.30168,23632527.6,1619626319999,7149912.318557,6444,12121863.9,3667426.474717,0,-0.0013707847843096865,-0.0006117213380539156,-0.000759063446255771,,0.30532000000000004,0.30532000000000004,0.30529552640000013,-112.94382022472006,0,0,0,7,-7
2021-04-28 19:12:00,0.30168,0.30488,0.30157,0.30451,16961966.1,1619626499999,5138596.07111,4975,9627542.4,2917445.909876,0,-0.0013829132813283906,-0.0007659597267088106,-0.00061695355461958,,0.30521875,0.30521875,0.3051384211200001,-57.516597646749744,39,6,0,10,22
2021-04-28 19:15:00,0.30451,0.30774,0.30362,0.30639,22844032.4,1619626679999,6998916.262575,7200,12815412.0,3927033.470473,0,-0.0012266844595473225,-0.000858104673276513,-0.0003685797862708095,,0.3053488888888889,0.3053488888888889,0.3053887368960001,13.581463080349879,49,15,0,9,24
2021-04-28 19:18:00,0.30643,0.3075,0.30457,0.30624,10934799.1,1619626859999,3345269.450345,4320,4914394.4,1503810.455415,0,-0.0011022694628863294,-0.0009069376311984764,-0.000195331831687853,,0.305438,0.305438,0.3055589895168001,19.534965209991906,42,13,0,5,23
2021-04-28 19:21:00,0.30624,0.30746,0.30471,0.30566,13242895.5,1619627039999,4053550.665398,4809,5443218.0,1666505.220639,0,-0.0010384996568085225,-0.0009332500363204857,-0.00010524962048803679,,0.30545818181818185,0.30545818181818185,0.3055791916134401,13.331315305616545,3,-9,0,-7,20
2021-04-28 19:24:00,0.30566,0.3063,0.30406,0.30496,10230993.6,1619627219999,3120541.912688,4083,3879471.9,1183493.521556,0,-0.0010325432599463391,-0.0009531086810456564,-7.943457890068268e-05,,0.30541666666666667,0.30541666666666667,0.3054553532907521,-20.05730659025569,-4,-11,0,-10,17
2021-04-28 19:27:00,0.30495,0.30566,0.30314,0.30562,6831322.3,1619627399999,2079085.957382,3955,3235549.5,984865.042465,0,-0.0009634601198412196,-0.000955178968804769,-8.281151036450556e-06,,0.3054323076923077,0.3054323076923077,0.3054882826326017,-31.55173323484377,1,-9,0,-8,19
2021-04-28 19:30:00,0.30556,0.30698,0.30423,0.30489,13306231.5,1619627579999,4069738.061366,4689,7065963.7,2161615.409696,0,-0.0009565891682508099,-0.0009554610086939773,-1.1281595568325697e-06,,0.30539357142857143,0.30539357142857143,0.3053686261060814,-6.535057862490495,34,9,0,9,16
2021-04-28 19:33:00,0.30489,0.30836,0.30472,0.30713,11734307.6,1619627759999,3599785.828349,5423,7770528.5,2385165.673521,0,-0.0007616151843181096,-0.0009166918438188039,0.00015507665950069427,46.322941646682644,0.30550933333333335,0.30550933333333335,0.30572090088486514,55.48768726290871,33,14,-3,9,12
2021-04-28 19:36:00,0.3073,0.30828,0.30654,0.30689,15412119.3,1619627939999,4739489.11402,4598,6671703.2,2052551.909592,0,-0.00061932371332446,-0.0008572182177199352,0.00023789450439547514,45.84930923254818,0.305595625,0.305595625,0.30595472070789215,74.41580885115259,25,13,-3,6,9
2021-04-28 19:39:00,0.30689,0.30711,0.30453,0.30466,12696990.2,1619628119999,3880958.677265,4492,5239307.3,1601680.482734,0,-0.0006786757094026652,-0.0008215097160564813,0.00014283400665381606,41.593794195967774,0.3055405882352941,0.3055405882352941,0.30569577656631375,-12.154027083990785,-39,-11,-6,-11,-9
